id,latitude,longitude,time,magnitude,mc_current
83,38.49986,-112.88403,2024-04-03 20:03:11.378,-1.0,-1.0
84,38.50218,-112.88324,2024-04-03 20:04:27.866,-0.74,-1.0
85,38.5008,-112.883,2024-04-03 20:04:31.809,-0.92,-1.0
86,38.50059,-112.88299,2024-04-03 20:04:40.870,-0.3,-1.0
87,38.5009,-112.88314,2024-04-03 20:04:45.449,-0.93,-1.0
88,38.50015,-112.88388,2024-04-03 20:06:00.852,-0.31,-1.0
89,38.50114,-112.88308,2024-04-03 20:06:58.549,-0.89,-1.0
90,38.50107,-112.88292,2024-04-03 20:10:45.605,-0.89,-1.0
91,38.50155,-112.8829,2024-04-03 20:11:30.884,-0.42,-1.0
92,38.50223,-112.88324,2024-04-03 20:11:51.427,-0.39,-1.0
93,38.5008,-112.883,2024-04-03 20:13:36.864,-0.77,-1.0
94,38.49991,-112.8842,2024-04-03 20:18:11.454,-0.76,-1.0
95,38.50221,-112.88307,2024-04-03 20:20:02.884,-0.76,-1.0
96,38.50128,-112.88295,2024-04-03 20:25:41.007,-0.71,-1.0
97,38.50206,-112.88328,2024-04-03 20:26:35.101,-0.89,-1.0
98,38.5022,-112.88324,2024-04-03 20:35:43.628,-0.45,-1.0
99,38.50158,-112.88287,2024-04-03 20:36:31.077,-0.89,-1.0
100,38.5008,-112.883,2024-04-03 20:36:50.882,-0.35,-1.0
101,38.5007,-112.88303,2024-04-03 20:43:22.933,-0.92,-1.0
102,38.50077,-112.88295,2024-04-03 20:47:11.884,-0.78,-1.0
103,38.501,-112.88295,2024-04-03 20:51:34.235,-0.48,-1.0
104,38.49984,-112.88414,2024-04-03 20:51:57.970,-0.82,-1.0
105,38.50092,-112.88295,2024-04-03 20:52:20.651,-0.01,-1.0
106,38.50014,-112.88314,2024-04-03 20:53:16.442,-0.91,-1.0
107,38.50225,-112.88338,2024-04-03 20:57:10.598,-0.9,-1.0
108,38.50083,-112.88295,2024-04-03 20:58:31.515,-0.39,-1.0
109,38.50287,-112.88289,2024-04-03 21:00:42.070,-0.68,-1.0
110,38.50223,-112.88324,2024-04-03 21:07:15.004,-0.52,-1.0
111,38.50257,-112.88282,2024-04-03 21:15:37.809,-0.26,-1.0
112,38.50063,-112.88387,2024-04-03 21:20:44.422,-0.92,-1.0
113,38.5005,-112.88411,2024-04-03 21:21:14.769,-0.59,-1.0
114,38.5008,-112.883,2024-04-03 21:32:16.009,-0.64,-1.0
115,38.50142,-112.88281,2024-04-03 21:33:55.562,-0.58,-1.0
116,38.50153,-112.88293,2024-04-03 21:34:45.399,-0.43,-1.0
117,38.50104,-112.88292,2024-04-03 21:38:40.395,-0.99,-1.0
118,38.49977,-112.88363,2024-04-03 21:38:58.758,-0.65,-1.0
119,38.50145,-112.88302,2024-04-03 21:55:52.249,-0.94,-1.0
120,38.49905,-112.88418,2024-04-03 21:56:31.664,-0.57,-1.0
121,38.49997,-112.88336,2024-04-03 21:59:54.869,-0.91,-1.0
122,38.50059,-112.88299,2024-04-03 22:05:06.691,-0.7,-1.0
123,38.49984,-112.88326,2024-04-03 22:11:20.660,-0.96,-1.0
124,38.4999,-112.88318,2024-04-03 22:11:38.042,-0.68,-1.0
125,38.50082,-112.8839,2024-04-03 22:24:05.701,-0.97,-1.0
126,38.50128,-112.88295,2024-04-03 22:30:52.509,-0.92,-1.0
127,38.5008,-112.883,2024-04-03 22:33:04.830,-0.72,-1.0
128,38.50028,-112.883,2024-04-03 22:35:03.884,-0.71,-1.0
129,38.49983,-112.88337,2024-04-03 22:35:44.109,-0.93,-1.0
130,38.50014,-112.88314,2024-04-03 22:36:41.148,-0.14,-1.0
131,38.49978,-112.88326,2024-04-03 22:42:14.776,-0.93,-1.0
132,38.50004,-112.8833,2024-04-03 22:46:51.747,-0.4,-1.0
133,38.49968,-112.88331,2024-04-03 22:56:37.186,0.1,-1.0
134,38.50145,-112.88299,2024-04-03 22:58:16.420,-0.48,-1.0
135,38.4999,-112.8842,2024-04-03 22:59:15.738,-0.81,-1.0
136,38.49977,-112.88358,2024-04-03 23:10:46.262,-0.98,-1.0
137,38.50135,-112.88281,2024-04-03 23:16:24.101,-0.95,-1.0
138,38.50023,-112.88304,2024-04-03 23:18:57.336,-0.99,-1.0
139,38.5001,-112.8833,2024-04-03 23:34:30.986,-0.8,-1.0
140,38.50153,-112.88344,2024-04-03 23:42:50.912,-0.95,-1.0
141,38.50257,-112.88282,2024-04-03 23:45:41.118,-0.27,-1.0
142,38.4998,-112.88337,2024-04-03 23:49:50.337,-0.08,-1.0
143,38.50263,-112.88272,2024-04-04 00:08:41.640,-0.07,-1.0
144,38.50084,-112.88295,2024-04-04 00:30:44.061,-0.65,-1.0
145,38.50063,-112.8839,2024-04-04 00:31:00.297,-0.7,-1.0
146,38.49977,-112.88359,2024-04-04 00:40:31.519,-0.66,-1.0
147,38.50031,-112.88395,2024-04-04 00:43:01.991,-0.6,-1.0
148,38.49962,-112.88384,2024-04-04 00:44:59.668,-0.41,-1.0
149,38.50145,-112.88299,2024-04-04 00:47:49.070,-0.85,-1.0
150,38.49966,-112.88339,2024-04-04 00:50:55.645,-0.2,-1.0
151,38.501,-112.88295,2024-04-04 00:54:36.386,-0.61,-1.0
152,38.49986,-112.88359,2024-04-04 00:56:29.927,-0.86,-1.0
153,38.49993,-112.88376,2024-04-04 00:57:35.339,-0.88,-1.0
154,38.50048,-112.88399,2024-04-04 00:57:44.568,-0.76,-1.0
155,38.49988,-112.88379,2024-04-04 00:58:10.772,-0.71,-1.0
156,38.50074,-112.88296,2024-04-04 00:59:32.556,-0.87,-1.0
157,38.50063,-112.88395,2024-04-04 01:00:34.980,-0.87,-1.0
158,38.50287,-112.88289,2024-04-04 01:02:05.260,-0.9,-1.0
159,38.49976,-112.88339,2024-04-04 01:02:13.734,-0.68,-1.0
160,38.5013,-112.88311,2024-04-04 01:03:32.502,-0.6,-1.0
161,38.50281,-112.88289,2024-04-04 01:03:44.650,-0.93,-1.0
162,38.49962,-112.88331,2024-04-04 01:04:36.955,-0.84,-1.0
163,38.50143,-112.88299,2024-04-04 01:05:39.498,-0.92,-1.0
164,38.50085,-112.88295,2024-04-04 01:06:37.947,0.16,-1.0
165,38.50073,-112.88336,2024-04-04 01:07:44.841,-0.79,-1.0
166,38.50161,-112.88297,2024-04-04 01:08:27.590,-0.76,-1.0
167,38.50101,-112.88402,2024-04-04 01:08:56.107,-0.97,-1.0
168,38.50017,-112.88296,2024-04-04 01:10:09.095,-0.36,-1.0
169,38.49983,-112.88422,2024-04-04 01:14:54.665,-0.98,-1.0
170,38.50031,-112.88395,2024-04-04 01:15:06.841,-0.83,-1.0
171,38.50011,-112.88314,2024-04-04 01:15:46.401,-0.5,-1.0
172,38.50133,-112.88296,2024-04-04 01:16:57.695,-0.9,-1.0
173,38.50284,-112.88289,2024-04-04 01:19:31.558,-0.51,-1.0
174,38.5014,-112.88281,2024-04-04 01:19:49.127,-0.66,-1.0
175,38.50087,-112.88387,2024-04-04 01:21:07.033,-0.45,-1.0
176,38.50223,-112.88324,2024-04-04 01:25:17.513,-0.62,-1.0
177,38.50063,-112.88398,2024-04-04 01:25:23.702,-0.57,-1.0
178,38.49998,-112.88394,2024-04-04 01:25:34.693,-0.83,-1.0
179,38.50117,-112.88307,2024-04-04 01:26:44.512,-0.99,-1.0
180,38.49994,-112.8843,2024-04-04 01:27:25.498,-0.99,-1.0
181,38.5022,-112.8833,2024-04-04 01:27:43.408,-0.98,-1.0
182,38.50212,-112.88325,2024-04-04 01:28:37.559,-0.87,-1.0
183,38.50031,-112.88395,2024-04-04 01:28:44.968,-0.51,-1.0
184,38.49989,-112.88394,2024-04-04 01:29:31.031,-0.89,-1.0
185,38.50059,-112.88299,2024-04-04 01:29:49.973,-0.5,-1.0
186,38.50019,-112.883,2024-04-04 01:31:33.079,-0.92,-1.0
187,38.5013,-112.88311,2024-04-04 01:33:49.029,-0.91,-1.0
188,38.50063,-112.88393,2024-04-04 01:34:38.914,-0.89,-1.0
189,38.50145,-112.88299,2024-04-04 01:35:17.324,-0.52,-1.0
190,38.5014,-112.88299,2024-04-04 01:35:32.542,0.04,-1.0
191,38.50302,-112.88289,2024-04-04 01:35:48.856,-0.44,-1.0
192,38.50073,-112.88336,2024-04-04 01:36:11.447,-0.96,-1.0
193,38.49975,-112.88425,2024-04-04 01:39:52.880,-0.99,-1.0
194,38.5007,-112.88399,2024-04-04 01:41:30.924,-0.03,-1.0
195,38.50078,-112.88297,2024-04-04 01:41:47.769,-0.92,-1.0
196,38.50058,-112.88391,2024-04-04 01:41:51.648,-0.05,-1.0
197,38.50306,-112.88289,2024-04-04 01:42:44.030,-0.02,-1.0
198,38.50063,-112.88398,2024-04-04 01:45:15.959,-0.78,-1.0
199,38.50031,-112.88395,2024-04-04 01:45:22.892,-0.76,-1.0
200,38.50257,-112.88282,2024-04-04 01:47:31.409,-0.53,-1.0
201,38.50161,-112.88297,2024-04-04 01:50:02.618,-0.78,-1.0
202,38.50015,-112.88312,2024-04-04 01:51:23.193,-0.96,-1.0
203,38.50015,-112.88396,2024-04-04 01:52:04.153,-0.53,-1.0
204,38.50092,-112.88295,2024-04-04 01:53:29.881,-0.19,-1.0
205,38.50145,-112.88299,2024-04-04 01:54:33.540,-0.3,-1.0
206,38.49988,-112.8842,2024-04-04 01:55:52.967,-0.95,-1.0
207,38.50299,-112.88252,2024-04-04 01:56:08.271,-0.97,-1.0
208,38.49984,-112.8842,2024-04-04 01:58:20.736,-0.75,-1.0
209,38.50087,-112.88387,2024-04-04 02:00:05.953,-0.9,-1.0
210,38.50298,-112.88262,2024-04-04 02:00:18.737,-0.27,-1.0
211,38.50118,-112.88404,2024-04-04 02:00:46.838,-0.98,-1.0
212,38.50031,-112.88395,2024-04-04 02:01:43.974,-0.93,-1.0
213,38.50126,-112.88312,2024-04-04 02:02:23.702,-1.0,-1.0
214,38.50063,-112.88401,2024-04-04 02:02:55.690,-0.93,-1.0
215,38.50301,-112.88289,2024-04-04 02:03:29.781,-0.79,-1.0
216,38.50105,-112.88295,2024-04-04 02:04:12.127,-0.56,-1.0
217,38.5023,-112.88269,2024-04-04 02:05:29.271,0.32,-1.0
218,38.50263,-112.88253,2024-04-04 02:09:03.151,-0.77,-1.0
219,38.50223,-112.88324,2024-04-04 02:10:00.233,-0.08,-1.0
220,38.5005,-112.88411,2024-04-04 02:11:11.961,-0.78,-1.0
221,38.49933,-112.88354,2024-04-04 02:12:08.890,-0.44,-1.0
222,38.50095,-112.88328,2024-04-04 02:12:55.632,-0.01,-1.0
223,38.50066,-112.88404,2024-04-04 02:15:24.560,-0.95,-1.0
224,38.49987,-112.88327,2024-04-04 02:17:05.607,-0.94,-1.0
225,38.49992,-112.8842,2024-04-04 02:18:33.424,-0.99,-1.0
226,38.49974,-112.88328,2024-04-04 02:19:08.164,-0.7,-1.0
227,38.50087,-112.88392,2024-04-04 02:19:15.522,-0.82,-1.0
228,38.50106,-112.88399,2024-04-04 02:20:02.651,-0.09,-1.0
229,38.49989,-112.8837,2024-04-04 02:21:47.647,-0.86,-1.0
230,38.50129,-112.88296,2024-04-04 02:23:52.465,-0.73,-1.0
231,38.5008,-112.883,2024-04-04 02:24:07.723,-0.41,-1.0
232,38.50295,-112.88289,2024-04-04 02:26:02.967,-0.59,-1.0
233,38.50059,-112.88299,2024-04-04 02:26:12.591,-0.54,-1.0
234,38.50116,-112.88301,2024-04-04 02:26:24.964,-0.9,-1.0
235,38.50037,-112.883,2024-04-04 02:27:47.406,-0.82,-1.0
236,38.5002,-112.88304,2024-04-04 02:28:46.952,-0.69,-1.0
237,38.50263,-112.88272,2024-04-04 02:29:32.151,-0.51,-1.0
238,38.50048,-112.88311,2024-04-04 02:29:39.580,-0.84,-1.0
239,38.50157,-112.8839,2024-04-04 02:30:14.438,-0.76,-1.0
240,38.50125,-112.88404,2024-04-04 02:31:03.912,-0.7,-1.0
241,38.50116,-112.88396,2024-04-04 02:33:40.302,-0.11,-1.0
242,38.50117,-112.88396,2024-04-04 02:33:45.575,-0.07,-1.0
243,38.50191,-112.88312,2024-04-04 02:35:00.390,-0.92,-1.0
244,38.50143,-112.88299,2024-04-04 02:35:37.511,-0.71,-1.0
245,38.50142,-112.88281,2024-04-04 02:35:46.114,-0.88,-1.0
246,38.50011,-112.88314,2024-04-04 02:35:54.031,-0.37,-1.0
247,38.49933,-112.88354,2024-04-04 02:36:37.253,-0.28,-1.0
248,38.50157,-112.8839,2024-04-04 02:37:32.290,-0.8,-1.0
249,38.5008,-112.88248,2024-04-04 02:39:44.604,-0.69,-1.0
250,38.5007,-112.88399,2024-04-04 02:40:46.186,0.01,-1.0
251,38.49986,-112.8842,2024-04-04 02:40:54.262,-0.99,-1.0
252,38.50145,-112.88323,2024-04-04 02:43:56.751,-0.84,-1.0
253,38.49963,-112.88393,2024-04-04 02:45:31.310,-0.77,-1.0
254,38.50106,-112.88292,2024-04-04 02:46:09.036,-0.93,-1.0
255,38.50219,-112.88317,2024-04-04 02:46:57.377,-0.78,-1.0
256,38.50129,-112.88408,2024-04-04 02:47:50.870,-0.75,-1.0
257,38.50092,-112.88295,2024-04-04 02:48:16.939,-0.19,-1.0
258,38.50082,-112.88384,2024-04-04 02:48:25.770,-0.9,-1.0
259,38.50063,-112.88394,2024-04-04 02:48:35.413,-0.91,-1.0
260,38.50257,-112.88282,2024-04-04 02:49:08.484,-0.22,-1.0
261,38.50144,-112.88286,2024-04-04 02:51:01.781,-0.23,-1.0
262,38.50306,-112.88292,2024-04-04 02:51:11.796,-0.89,-1.0
263,38.49997,-112.88329,2024-04-04 02:53:03.065,-0.8,-1.0
264,38.50106,-112.88295,2024-04-04 02:53:37.357,-0.37,-1.0
265,38.49982,-112.88422,2024-04-04 02:56:01.207,-0.46,-1.0
266,38.50304,-112.88262,2024-04-04 02:57:39.371,-0.98,-1.0
267,38.50298,-112.88262,2024-04-04 02:59:00.648,-0.44,-1.0
268,38.50306,-112.88295,2024-04-04 02:59:41.013,-0.75,-1.0
269,38.50263,-112.88253,2024-04-04 03:01:08.928,-0.67,-1.0
270,38.50157,-112.8839,2024-04-04 03:05:30.936,-0.31,-1.0
271,38.50083,-112.88295,2024-04-04 03:06:10.138,-0.66,-1.0
272,38.50283,-112.88252,2024-04-04 03:11:14.562,-0.64,-1.0
273,38.50007,-112.88326,2024-04-04 03:11:35.461,-0.94,-1.0
274,38.50112,-112.88396,2024-04-04 03:18:04.565,-0.55,-1.0
275,38.50122,-112.884,2024-04-04 03:18:47.167,-0.91,-1.0
276,38.50257,-112.88272,2024-04-04 03:18:51.608,-0.39,-1.0
277,38.503,-112.88289,2024-04-04 03:19:23.419,-0.75,-1.0
278,38.5014,-112.88408,2024-04-04 03:21:53.257,-0.98,-1.0
279,38.50307,-112.88293,2024-04-04 03:22:06.360,-0.51,-1.0
280,38.5014,-112.88404,2024-04-04 03:22:57.352,-0.27,-1.0
281,38.50297,-112.88262,2024-04-04 03:23:17.276,-0.78,-1.0
282,38.49994,-112.8843,2024-04-04 03:25:32.695,-0.59,-1.0
283,38.503,-112.88288,2024-04-04 03:26:29.362,-0.31,-1.0
284,38.50112,-112.88399,2024-04-04 03:29:01.122,-0.35,-1.0
285,38.49956,-112.88377,2024-04-04 03:30:17.650,-0.5,-1.0
286,38.50142,-112.88281,2024-04-04 03:35:45.562,-0.66,-1.0
287,38.50157,-112.8839,2024-04-04 03:36:13.080,-0.77,-1.0
288,38.50286,-112.88252,2024-04-04 03:37:28.116,0.21,-1.0
289,38.50157,-112.88282,2024-04-04 03:41:45.901,-0.98,-1.0
290,38.49914,-112.88364,2024-04-04 03:45:50.477,-0.84,-1.0
291,38.50296,-112.88252,2024-04-04 03:45:53.659,-0.07,-1.0
292,38.50141,-112.88324,2024-04-04 03:49:33.249,-0.95,-1.0
293,38.499,-112.88374,2024-04-04 03:51:04.598,-0.29,-1.0
294,38.49933,-112.88354,2024-04-04 03:52:33.582,-0.28,-1.0
295,38.50102,-112.8842,2024-04-04 03:53:29.088,-0.77,-1.0
296,38.49981,-112.88337,2024-04-04 04:00:23.238,-0.94,-1.0
297,38.50298,-112.88262,2024-04-04 04:00:46.942,-0.61,-1.0
298,38.49994,-112.88307,2024-04-04 04:02:34.389,0.04,-1.0
299,38.50275,-112.88257,2024-04-04 04:09:37.148,-0.75,-1.0
300,38.50121,-112.88417,2024-04-04 04:10:06.413,-0.63,-1.0
301,38.49968,-112.88307,2024-04-04 04:13:12.705,-0.7,-1.0
302,38.50012,-112.88314,2024-04-04 04:16:15.293,-0.94,-1.0
